calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22ljq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030206,HST,lcxv22ljq,25030442,,lcxv22ljq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22lmq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030207,HST,lcxv22lmq,25030442,,lcxv22lmq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22lrq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030208,HST,lcxv22lrq,25030442,,lcxv22lrq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22lxq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030209,HST,lcxv22lxq,25030442,,lcxv22lxq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
3,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22050_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25030442,HST,lcxv22050,25030442,,lcxv22050_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14268,3.6.1,1814400,D
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22m1q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030210,HST,lcxv22m1q,25030443,,lcxv22m1q_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22m5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030211,HST,lcxv22m5q,25030443,,lcxv22m5q_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22m9q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030212,HST,lcxv22m9q,25030443,,lcxv22m9q_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
2,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22meq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25030213,HST,lcxv22meq,25030443,,lcxv22meq_x1d.fits,,X1D,SCIENCE,CALCOS,14268,3.6.1,3389760,S
3,SWIFT J2325.6+2157,PUBLIC,mast:HST/product/lcxv22060_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25030443,HST,lcxv22060,25030443,,lcxv22060_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14268,3.6.1,1814400,D
