calib_level,common_name,dataRights,dataURI,dataproduct_type,description,filters,inst_family,obsID,obs_collection,obs_id,parent_obsid,productDocumentationURL,productFilename,productGroupDescription,productSubGroupDescription,productType,project,proposal_id,prvversion,size,type
2,NGC 5548,PUBLIC,mast:HST/product/lc7002crq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24148697,HST,lc7002crq,24845414,,lc7002crq_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lc7002ctq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24148698,HST,lc7002ctq,24845414,,lc7002ctq_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lc7002020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24845414,HST,lc7002020,24845414,,lc7002020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13184,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lc7001b3q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148691,HST,lc7001b3q,24845412,,lc7001b3q_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lc7001b5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148692,HST,lc7001b5q,24845412,,lc7001b5q_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lc7001050_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845412,HST,lc7001050,24845412,,lc7001050_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13184,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lc7004kbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148719,HST,lc7004kbq,24845425,,lc7004kbq_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lc7004030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845425,HST,lc7004030,24845425,,lc7004030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13184,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lc7005ylq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148730,HST,lc7005ylq,24845431,,lc7005ylq_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lc7005040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845431,HST,lc7005040,24845431,,lc7005040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13184,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lc7002czq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148701,HST,lc7002czq,24845417,,lc7002czq_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lc7002d1q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148702,HST,lc7002d1q,24845417,,lc7002d1q_x1d.fits,,X1D,SCIENCE,CALCOS,13184,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lc7002050_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845417,HST,lc7002050,24845417,,lc7002050_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13184,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao24d5q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150211,HST,lcao24d5q,24845972,,lcao24d5q_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao24040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845972,HST,lcao24040,24845972,,lcao24040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao24d3q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150210,HST,lcao24d3q,24845971,,lcao24d3q_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao24030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845971,HST,lcao24030,24845971,,lcao24030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao25hoq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24150214,HST,lcao25hoq,24845973,,lcao25hoq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao25010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24845973,HST,lcao25010,24845973,,lcao25010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao25hqq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24150215,HST,lcao25hqq,24845974,,lcao25hqq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao25020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24845974,HST,lcao25020,24845974,,lcao25020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao25hsq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150216,HST,lcao25hsq,24845975,,lcao25hsq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao25030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845975,HST,lcao25030,24845975,,lcao25030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao2fydq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150277,HST,lcao2fydq,24846016,,lcao2fydq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao2f040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24846016,HST,lcao2f040,24846016,,lcao2f040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao2pd6q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150336,HST,lcao2pd6q,24846055,,lcao2pd6q_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao2p030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24846055,HST,lcao2p030,24846055,,lcao2p030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao2tymq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24150358,HST,lcao2tymq,24846069,,lcao2tymq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao2t010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24846069,HST,lcao2t010,24846069,,lcao2t010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao2pd8q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24150337,HST,lcao2pd8q,24846056,,lcao2pd8q_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao2p040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24846056,HST,lcao2p040,24846056,,lcao2p040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lbgu22ymq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24140899,HST,lbgu22ymq,24842908,,lbgu22ymq_x1d.fits,,X1D,SCIENCE,CALCOS,12212,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lbgu22040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24842908,HST,lbgu22040,24842908,,lbgu22040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,12212,3.6.1,1944000,D
3,NGC 5548,PUBLIC,mast:HST/product/lfb701020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,238239236,HST,lfb701020,238239236,,lfb701020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17591,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lfb701byq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,238239245,HST,lfb701byq,238239236,,lfb701byq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701bwq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,238239246,HST,lfb701bwq,238239236,,lfb701bwq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lfb701040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,238239238,HST,lfb701040,238239238,,lfb701040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17591,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lfb701cgq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239241,HST,lfb701cgq,238239238,,lfb701cgq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701ckq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239242,HST,lfb701ckq,238239238,,lfb701ckq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701cmq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239243,HST,lfb701cmq,238239238,,lfb701cmq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701ciq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239247,HST,lfb701ciq,238239238,,lfb701ciq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701coq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239249,HST,lfb701coq,238239238,,lfb701coq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701cqq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239250,HST,lfb701cqq,238239238,,lfb701cqq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lfb701010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,238239239,HST,lfb701010,238239239,,lfb701010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17591,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lfb701bsq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,238239244,HST,lfb701bsq,238239239,,lfb701bsq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701buq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,238239251,HST,lfb701buq,238239239,,lfb701buq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lfb701030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,238239252,HST,lfb701030,238239252,,lfb701030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,17591,3.6.1,1814400,D
2,NGC 5548,PUBLIC,mast:HST/product/lfb701c4q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239255,HST,lfb701c4q,238239252,,lfb701c4q_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701cbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239260,HST,lfb701cbq,238239252,,lfb701cbq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701cdq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239262,HST,lfb701cdq,238239252,,lfb701cdq_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701c0q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239266,HST,lfb701c0q,238239252,,lfb701c0q_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701c6q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239267,HST,lfb701c6q,238239252,,lfb701c6q_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lfb701c2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,238239268,HST,lfb701c2q,238239252,,lfb701c2q_x1d.fits,,X1D,SCIENCE,CALCOS,17591,3.6.1,3389760,S
2,NGC 5548,PUBLIC,mast:HST/product/lbgu22ykq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24140898,HST,lbgu22ykq,24842907,,lbgu22ykq_x1d.fits,,X1D,SCIENCE,CALCOS,12212,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lbgu22030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24842907,HST,lbgu22030,24842907,,lbgu22030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,12212,3.6.1,1944000,D
2,NGC 5548,PUBLIC,mast:HST/product/lcao1igyq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24150077,HST,lcao1igyq,24845882,,lcao1igyq_x1d.fits,,X1D,SCIENCE,CALCOS,13330,3.6.1,3389760,S
3,NGC 5548,PUBLIC,mast:HST/product/lcao1i020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24845882,HST,lcao1i020,24845882,,lcao1i020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13330,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/lc3x01bbq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24148099,HST,lc3x01bbq,24845222,,lc3x01bbq_x1d.fits,,X1D,SCIENCE,CALCOS,13115,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/lc3x01020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24845222,HST,lc3x01020,24845222,,lc3x01020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13115,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/lc3x01bhq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148102,HST,lc3x01bhq,24845225,,lc3x01bhq_x1d.fits,,X1D,SCIENCE,CALCOS,13115,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/lc3x01050_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845225,HST,lc3x01050,24845225,,lc3x01050_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13115,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/lc3x01bnq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24148105,HST,lc3x01bnq,24845228,,lc3x01bnq_x1d.fits,,X1D,SCIENCE,CALCOS,13115,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/lc3x01080_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24845228,HST,lc3x01080,24845228,,lc3x01080_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,13115,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03kmq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25059173,HST,ld3e03kmq,25059555,,ld3e03kmq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03koq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25059174,HST,ld3e03koq,25059555,,ld3e03koq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e03020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25059555,HST,ld3e03020,25059555,,ld3e03020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03kgq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25059171,HST,ld3e03kgq,25059554,,ld3e03kgq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03kkq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25059172,HST,ld3e03kkq,25059554,,ld3e03kkq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e03010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25059554,HST,ld3e03010,25059554,,ld3e03010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04pyq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25061076,HST,ld3e04pyq,25061288,,ld3e04pyq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04q0q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25061077,HST,ld3e04q0q,25061288,,ld3e04q0q_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e04040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25061288,HST,ld3e04040,25061288,,ld3e04040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04pmq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25061070,HST,ld3e04pmq,25061285,,ld3e04pmq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04poq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25061071,HST,ld3e04poq,25061285,,ld3e04poq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e04010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25061285,HST,ld3e04010,25061285,,ld3e04010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04puq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25061074,HST,ld3e04puq,25061287,,ld3e04puq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04pwq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25061075,HST,ld3e04pwq,25061287,,ld3e04pwq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e04030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25061287,HST,ld3e04030,25061287,,ld3e04030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03kyq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25059175,HST,ld3e03kyq,25059556,,ld3e03kyq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03l2q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25059176,HST,ld3e03l2q,25059556,,ld3e03l2q_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e03030_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25059556,HST,ld3e03030,25059556,,ld3e03030_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03l4q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25059177,HST,ld3e03l4q,25059557,,ld3e03l4q_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e03l6q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,25059178,HST,ld3e03l6q,25059557,,ld3e03l6q_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e03040_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,25059557,HST,ld3e03040,25059557,,ld3e03040_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04pqq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25061072,HST,ld3e04pqq,25061286,,ld3e04pqq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
2,NGC 3783,PUBLIC,mast:HST/product/ld3e04psq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,25061073,HST,ld3e04psq,25061286,,ld3e04psq_x1d.fits,,X1D,SCIENCE,CALCOS,14481,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/ld3e04020_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,25061286,HST,ld3e04020,25061286,,ld3e04020_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,14481,3.6.1,1814400,D
2,NGC 3783,PUBLIC,mast:HST/product/lbgu19vlq_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G160M,COS,24140874,HST,lbgu19vlq,24842888,,lbgu19vlq_x1d.fits,,X1D,SCIENCE,CALCOS,12212,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/lbgu19080_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G160M,COS,24842888,HST,lbgu19080,24842888,,lbgu19080_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,12212,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/lbgu19v6q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24140867,HST,lbgu19v6q,24842881,,lbgu19v6q_x1d.fits,,X1D,SCIENCE,CALCOS,12212,3.6.1,3389760,S
3,NGC 3783,PUBLIC,mast:HST/product/lbgu19010_x1dsum.fits,spectrum,DADS XSM file - Calibrated combined extracted 1D spectrum COS,G130M,COS,24842881,HST,lbgu19010,24842881,,lbgu19010_x1dsum.fits,Minimum Recommended Products,X1DSUM,SCIENCE,CALCOS,12212,3.6.1,1944000,D
2,NGC 3783,PUBLIC,mast:HST/product/lbgu19v8q_x1d.fits,spectrum,DADS X1D file - Calibrated 1D spectrum STIS,G130M,COS,24140868,HST,lbgu19v8q,24842882,,lbgu19v8q_x1d.fits,,X1D,SCIENCE,CALCOS,12212,3.6.1,3389760,S
