ra_deg              , dec_deg             , em_min_aa           , em_max_aa          , all_instruments, mast_target_name            , total_exptime       , n_obs, proposal_ids                                                                             , z_rankine, rankine_name, rankine_sep_arcsec    , in_rankine, in_wushen, wushen_sep_arcsec         , z_wushen          , z_lyke            , wushen_name       , z_legacy         , name_legacy            , in_legacy_csv, legacy_sep_arcsec        , f1450_legacy          , z_src_legacy                              , z_kaspi, z_rm    , z_ned, ned_name, ned_z_flag, best_z            , z_source, em_max_aa_uv      , civ_obs_aa        , has_civ, in_sulentic2007, in_kaspi2000, in_barth2015, in_du2015, in_bentz2015, in_shen2016, in_matthews2021, catalog_flags, in_nls1_rk17, common_name
240.54791350028     , 14.181518715885002  ,  783.665            ,  2050.0            , COS            , SDSSJ1602+1410              ,   4015.968          ,     2, 17217                                                                                    ,          ,             ,    544.8265252123584  , False     , True     ,      0.048666361586544644 , 0.2766326160680635, 0.2766            , 160211.49+141053.4,                  ,                        , False        , 19983.94028128606        ,                       ,                                           ,        ,         ,      ,         ,           , 0.2766326160680635, W       , 2050.0            , 1981.3338201376346, True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , SDSSJ1602+1410
208.81897479360168  , 56.21239678430334   , 1112.1354           ,  2282.8904         , COS            , LEDA 2816068                ,  16288.160000000002 ,     6, 16896                                                                                    ,          ,             ,    634.5934327596648  , False     , True     ,      0.05868161093480909  , 0.1218034353514376, 0.122             , 135516.56+561244.6,                  ,                        , False        , 21905.74334400143        ,                       ,                                           ,        ,         ,      ,         ,           , 0.1218034353514376, W       , 2282.8904         , 1741.0389316654312, True   , False          , False       , False       , False    , False       , False      , False          ,           128, True        , LEDA 2816068
186.26338877741     , 16.401862344546668  , 1130.8906           ,  3200.0            , COS            , LBQS 1222+1640              ,  24231.807999999997 ,     3, 17093                                                                                    ,          ,             ,    524.253801087974   , False     , True     ,      0.09702533079061312  , 0.5493114487048737, 0.5484            , 122503.21+162406.7,                  ,                        , False        , 12599.284919374115       ,                       ,                                           ,        ,         ,      ,         ,           , 0.5493114487048737, W       , 3200.0            , 2404.531368389964 , True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , LBQS 1222+1640
284.5047382701933   , 48.83982998626001   , 1381.8548999999998  ,  1775.0            , COS            , 1RXS J185800.9+485020       ,  20434.624000000003 ,     3, 16679                                                                                    ,          ,             ,  26524.245702761193   , False     , False    ,  26524.245702761193       ,                   ,                   ,                   ,                  ,                        , False        , 58468.40855385303        ,                       ,                                           ,        , 0.079   ,      ,         ,           , 0.079             , B       , 1775.0            , 1674.608          , True   , False          , False       , False       , False    , True        , False      , False          ,             8, False       , 1RXS J185800.9+485020
218.682014990665    , 20.090112387150004  , 1065.1844           ,  3211.4893         , COS            , SDSS J143443.68+200524.4    ,  23394.688000000002 ,     4, 17093                                                                                    ,          ,             ,    880.2229886664461  , False     , True     ,      0.06249971680428137  , 0.4561662348515503, 0.457             , 143443.68+200524.4,                  ,                        , False        ,  6254.965611131697       ,                       ,                                           ,        ,         ,      ,         ,           , 0.4561662348515503, W       , 3211.4893         , 2259.969996489606 , True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , SDSS J143443.68+200524.4
199.782612567015    , 27.307794616125     ,  784.8845999999999  ,  2050.0            , COS            , PB 3493                     ,   4085.92           ,     2, 17217                                                                                    ,          ,             ,    854.2728071277346  , False     , True     ,      0.04774831969540219  , 0.2838798897818679, 0.284453          , 131907.83+271828.0,                  ,                        , False        ,  9652.649004974273       ,                       ,                                           ,        ,         ,      ,         ,           , 0.2838798897818679, W       , 2050.0            , 1992.5815889414591, True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , PB 3493
 33.10652966990833  , 1.0155901906558331  ,   31.4038           ,  2439.7135         , COS            , PB 6739                     ,  57986.296          ,     6, 17211                                                                                    ,          ,             ,    407.1390228069678  , False     , True     ,      0.08911850018193869  , 0.5124950634903213, 0.5131096243858337, 021225.56+010056.1,                  ,                        , False        ,  6697.523819985776       ,                       ,                                           ,        ,         ,      ,         ,           , 0.5124950634903213, W       , 2439.7135         , 2347.392338536979 , True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , PB 6739
 14.291438226575    , 14.769489031527499  , 1130.5213           ,  3200.0            , COS/FOS        , [OKM2018] SWIFT J0056.9+1472,   9063.59943994141  ,     4, "17093,5948"                                                                             ,          ,             ,    322.9034046700537  , False     , True     ,      0.05300464235536537  , 0.1718091498586923, 0.171875          , 005709.94+144610.1,                  ,                        , False        ,  8103.998129138031       ,                       ,                                           ,        ,         ,      ,         ,           , 0.1718091498586923, W       , 3200.0            , 1818.6478005806903, True   , False          , False       , False       , False    , False       , False      , False          ,             0, False       , [OKM2018] SWIFT J0056.9+1472
117.75593151926502  , 29.238655257680005  ,   31.6387           ,  2439.7186         , COS            , ATO J117.7559+29.2386       ,   3831.9360000000006,     2, 17433                                                                                    ,          ,             ,    301.0892178610557  , False     , True     ,      0.05579320358878723  , 0.1210142853943256, 0.120891          , 075101.42+291419.1,                  ,                        , False        ,  6865.112335861935       ,                       ,                                           ,        , 0.1209  ,      ,         ,           , 0.1210142853943256, W       , 2439.7186         , 1739.8141709319934, True   , False          , False       , False       , True     , True        , False      , False          ,           140, True        , ATO J117.7559+29.2386
185.16396063836336  , 17.305760792576667  , 1130.4467           ,  3200.0            , COS            , 87GB 121807.5+173455        ,  24231.807999999997 ,     3, 17093                                                                                    ,          ,             ,    169.057053513841   , False     , True     ,      0.04585683026877588  , 0.4433122496293902, 0.4429            , 122039.35+171820.7,                  ,                        , False        , 12939.924631028922       ,                       ,                                           ,        ,         ,      ,         ,           , 0.4433122496293902, W       , 3200.0            , 2240.0206114248135, True   , False          , False       , False       , False    , False       , False      , False          ,           128, True        , 87GB 121807.5+173455
