intentType,obs_collection,provenance_name,instrument,project,filters,wave_region,mast_target_name,target_classification,obs_id,ra_deg,dec_deg,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max,common_name,inst_family
science,HST,CALCOS,COS/FUV,HST,G130M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq427050,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59843.67625243055,59843.76745586806,4690.368,UV,115.0,145.0,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59843.87556712,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq427050_x1dsum.png,mast:HST/product/leq427050_x1dsum.fits,PUBLIC,False,,93975094,1007667575,115.0,145.0,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G160M,UV,Q0043+4234,ISM;ABSORPTION LINE SYSTEM;ABSORPTION LINE SYSTEM - EXTRAGALACTIC;ABSORPTION LINE SYSTEM - GALACTIC,leq432050,10.9791,42.57508055556,spectrum,"Lehner, Nicolas",3,59830.71643761574,59830.8079306713,4648.2880000000005,UV,140.5,177.5,Connecting the Smoke to the Fire: Mapping Andromedas Inner Circumgalactic Medium,59831.27525462,16730,GO,,POLYGON 10.97863879 42.57515279 10.97863879 42.57500841 10.97871854 42.57487651 10.97886424 42.5747799 10.97905071 42.57473528 10.97924571 42.57475037 10.9794155 42.57482256 10.97953075 42.57493937 10.97957152 42.5750806 10.97953075 42.57522183 10.97941551 42.57533863 10.97924571 42.57541083 10.97905071 42.57542592 10.97886424 42.5753813 10.97871853 42.57528469 10.97863879 42.57515279 10.97863879 42.57515279,mast:HST/product/leq432050_x1dsum.png,mast:HST/product/leq432050_x1dsum.fits,PUBLIC,False,,91673589,1007667585,140.5,177.5,2MASS J00435499+4234302,COS
science,HST,HASP,COS,HASP,G140L;G230L,UV,Q0043+4234,,hst_hasp_11658_cos_q0043p4234_lb6f,10.979099166666668,42.57507777848331,spectrum,Turnshek,2,55444.62123842593,55444.8419212963,9591.872,UV,111.29257,289.82482999999996,,55859.0134143,11658,HASP,,CIRCLE 10.97909916667 42.57507777778 0.00034722222222222224,mast:HST/product/hasp/hst_11658_cos_q0043p4234_cg140l-cg230l_lb6f09_cspec.png,mast:HST/product/hasp/hst_11658_cos_q0043p4234_cg140l-cg230l_lb6f_cspec.fits,PUBLIC,False,,199094176,1102062003,111.29257,289.82482999999996,2MASS J00435499+4234302,COS
science,HST,HASP,COS,HASP,G130M;G160M,UV,Q0043+4234,,hst_hasp_16730_cos_q0043p4234_leq4,10.979099999333338,42.57508055581665,spectrum,Lehner,2,59826.285775462966,59847.8002662037,32953.216,UV,113.05013000000001,176.65259,,59954.73894667,16730,HASP,,CIRCLE 10.9791 42.57508055556 0.00034722222222222224,mast:HST/product/hasp/hst_16730_cos_q0043p4234_g130m-g160m_leq4_cspec.png,mast:HST/product/hasp/hst_16730_cos_q0043p4234_g130m-g160m_leq4_cspec.fits,PUBLIC,False,,199097585,1103825983,113.05013000000001,176.65259,2MASS J00435499+4234302,COS
science,HST,CALCOS,COS/FUV,HST,G160M,UV,SDSSJ092159.38+450912.3,GALAXY;STARBURST,lb5b06020,140.4974583333,45.15343888889,spectrum,"Heckman, Timothy M.",3,55356.55041438658,55356.65319236111,6260.288,UV,140.5,177.5,UV spectroscopy of Local Lyman Break Galaxy Analogs: New Clues to Galaxy Formation in the Early Universe,55721.85013878,11727,GO,,POLYGON 140.49790813 45.15358013 140.49778779 45.15369693 140.49761048 45.15376913 140.49740686 45.15378422 140.49721215 45.1537396 140.49706 45.15364299 140.49697673 45.15351109 140.49697673 45.15336671 140.49706 45.15323481 140.49721215 45.1531382 140.49740686 45.15309358 140.49761048 45.15310867 140.49778778 45.15318086 140.49790813 45.15329767 140.49795069 45.1534389 140.49790813 45.15358013 140.49790813 45.15358013,mast:HST/product/lb5b06020_x1dsum.png,mast:HST/product/lb5b06020_x1dsum.fits,PUBLIC,False,,24841500,1006558914,140.5,177.5,2MASS J09215939+4509126,COS
science,HST,CALCOS,COS/FUV,HST,G130M,UV,SDSSJ092159.38+450912.3,GALAXY;STARBURST,lb5b06010,140.4974583333,45.15343888889,spectrum,"Heckman, Timothy M.",3,55356.424547372684,55356.520103090275,5800.352,UV,115.0,145.0,UV spectroscopy of Local Lyman Break Galaxy Analogs: New Clues to Galaxy Formation in the Early Universe,55721.71612256,11727,GO,,POLYGON 140.49790813 45.15358013 140.49778779 45.15369693 140.49761048 45.15376913 140.49740686 45.15378422 140.49721215 45.1537396 140.49706 45.15364299 140.49697673 45.15351109 140.49697673 45.15336671 140.49706 45.15323481 140.49721215 45.1531382 140.49740686 45.15309358 140.49761048 45.15310867 140.49778778 45.15318086 140.49790813 45.15329767 140.49795069 45.1534389 140.49790813 45.15358013 140.49790813 45.15358013,mast:HST/product/lb5b06010_x1dsum.png,mast:HST/product/lb5b06010_x1dsum.fits,PUBLIC,False,,24841499,1006558919,115.0,145.0,2MASS J09215939+4509126,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,2MASS-J09215939+4509126,GALAXY;STARBURST,lbyx02010,140.4974583333,45.15344444444,spectrum,"Borthakur, Sanchayeeta",3,56411.2403346875,56411.462012731485,11894.624,UV,123.0,205.0,Direct Detection of Escaping Lyman Continuum Emission from Local Lyman-Break Analog Galaxy,56776.55660869,12886,GO,,POLYGON 140.49790813 45.15358563 140.49778779 45.15370243 140.49761048 45.15377463 140.49740686 45.15378972 140.49721215 45.1537451 140.49706 45.15364849 140.49697673 45.15351659 140.49697673 45.15337221 140.49706 45.15324031 140.49721215 45.1531437 140.49740686 45.15309908 140.49761048 45.15311417 140.49778778 45.15318636 140.49790813 45.15330317 140.49795069 45.1534444 140.49790813 45.15358563 140.49790813 45.15358563,mast:HST/product/lbyx02010_x1dsum.png,mast:HST/product/lbyx02010_x1dsum.fits,PUBLIC,False,,24844891,1006611967,123.0,205.0,2MASS J09215939+4509126,COS
science,HST,CALCOS,COS/FUV,HST,G140L,UV,2MASS-J09215939+4509126,GALAXY;STARBURST,lbyx01010,140.4974583333,45.15344444444,spectrum,"Borthakur, Sanchayeeta",3,56416.17165431713,56416.45330902778,13785.760000000002,UV,123.0,205.0,Direct Detection of Escaping Lyman Continuum Emission from Local Lyman-Break Analog Galaxy,56781.55685175,12886,GO,,POLYGON 140.49790813 45.15358563 140.49778779 45.15370243 140.49761048 45.15377463 140.49740686 45.15378972 140.49721215 45.1537451 140.49706 45.15364849 140.49697673 45.15351659 140.49697673 45.15337221 140.49706 45.15324031 140.49721215 45.1531437 140.49740686 45.15309908 140.49761048 45.15311417 140.49778778 45.15318636 140.49790813 45.15330317 140.49795069 45.1534444 140.49790813 45.15358563 140.49790813 45.15358563,mast:HST/product/lbyx01010_x1dsum.png,mast:HST/product/lbyx01010_x1dsum.fits,PUBLIC,False,,24844890,1006612978,123.0,205.0,2MASS J09215939+4509126,COS
science,HST,HASP,COS,HASP,G140L,XRAY;EUV;UV,2MASS-J09215939+4509126,,hst_hasp_12886_cos_2mass-j09215939p4509126_lbyx,140.49745833333333,45.15344444386221,spectrum,Borthakur,2,56411.240324074075,56416.45329861111,25680.384000000002,XRAY;EUV;UV,4.47234,240.01485,,56781.55685175,12886,HASP,,CIRCLE 140.4974583333 45.15344444444 0.00034722222222222224,mast:HST/product/hasp/hst_12886_cos_2mass-j09215939p4509126_cg140l_lbyx01_cspec.png,mast:HST/product/hasp/hst_12886_cos_2mass-j09215939p4509126_cg140l_lbyx_cspec.fits,PUBLIC,False,,199206781,1102527175,4.47234,240.01485,2MASS J09215939+4509126,COS
science,HST,HASP,COS,HASP,G130M;G160M,UV,SDSSJ092159.38+450912.3,,hst_hasp_11727_cos_sdssj092159d38p450912d3_lb5b,140.49745833333333,45.15343888986222,spectrum,Heckman,2,55356.42453703703,55356.653182870374,12060.64,UV,117.00578,176.63425,,55897.1891551,11727,HASP,,CIRCLE 140.4974583333 45.15343888889 0.00034722222222222224,mast:HST/product/hasp/hst_11727_cos_sdssj092159d38p450912d3_g130m-g160m_lb5b06_cspec.png,mast:HST/product/hasp/hst_11727_cos_sdssj092159d38p450912d3_g130m-g160m_lb5b_cspec.fits,PUBLIC,False,,199094334,1103834505,117.00578,176.63425,2MASS J09215939+4509126,COS
