mast_target_name,ra_deg,dec_deg,em_min_aa,em_max_aa,obs_id,t_exptime,instrument,target_classification,proposal_id,calib_level,query_classif
3C57,30.48835346486,-11.54266047154,,,y2ie0203t,250.0,FOS/RD,GALAXY;QUASAR;LYMAN ALPHA CLOUD;,5664,1,unfiltered
3C57,30.48833333333,-11.54269444444,,,y2ie0201t,4.907812595367,FOS/RD,GALAXY;QUASAR;LYMAN ALPHA CLOUD;,5664,1,unfiltered
PG0117+213,20.07222149856,21.56288293992,,,y2ie0102t,90.0,FOS/RD,GALAXY;QUASAR;LYMAN ALPHA CLOUD;,5664,1,unfiltered
PG0117+213,20.07219773286,21.5628504639,,,y2ie0103t,250.0,FOS/RD,GALAXY;QUASAR;LYMAN ALPHA CLOUD;,5664,1,unfiltered
WAVE,,,2221.0,3301.0,y25v050at,2.0,FOS/RD,,5320,2,unfiltered
LB9612,229.8310833333,23.76758333333,,,y25v0501t,13.30875015259,FOS/RD,GALAXY;QSO;,5320,1,unfiltered
WAVE,,,1573.0,2330.0,y25v0506t,8.0,FOS/RD,,5320,2,unfiltered
NGC6397-STAR2-OFFSET,265.172607165,-53.6726430985,,,y29o0102t,72.0,FOS/RD,STAR;G III-I;;STELLAR CLUSTER;GL,5497,1,unfiltered
NGC6397-STAR1-OFFSET,265.1690416667,-53.66697222222,,,y29o0101t,1.526250004768,FOS/RD,STAR;G III-I;;STELLAR CLUSTER;GL,5497,1,unfiltered
NGC6397-STAR4-OFFSET,265.1764225088,-53.67288756645,,,y29o0106t,174.9961090088,FOS/RD,STAR;G III-I;;STELLAR CLUSTER;GL,5497,1,unfiltered
NGC4621-NUC1,190.5095353878,11.64671147592,,,y2j20505t,1120.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
PKS2155-304,329.7167199721,-30.22597014665,3240.0,4822.0,y29z0101t,3.0,FOS/RD,GALAXY;BL LAC;,5089,1,unfiltered
NGC3377-NUC1,161.92625,13.98583333333,,,y2j20406t,211.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC4621-NUC1,190.5091050876,11.64658844965,,,y2j20502t,90.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC3377-NUC1,161.9277499368,13.9863173057,,,y2j20401t,120.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC4621-NUC1,190.5110083278,11.64631512106,,,y2j20501t,120.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC3377-NUC1,161.926289006,13.98583919968,,,y2j20405t,1120.0,FOS/RD,GALAXY;ELLIPTICAL;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.307878043,-7.719720758716,,,y2j20301t,1120.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.3079166667,-7.719722222222,,,y2j20202t,256.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.307878043,-7.719720758716,,,y2j20201t,1120.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.3079166667,-7.719722222222,,,y2j20106t,256.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
WAVE,,,4574.0,6871.999999999999,y2j20303t,12.0,FOS/RD,,5512,2,unfiltered
NGC3115-NUC1,151.3076347322,-7.719420627342,,,y2j20103t,180.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.3082210196,-7.719442842571,,,y2j20102t,90.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
NGC3115-NUC1,151.307878043,-7.719720758716,,,y2j20105t,1120.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
WAVE,,,4574.0,6871.999999999999,y2j20203t,12.0,FOS/RD,,5512,2,unfiltered
NGC224-NE1,10.68477491518,41.26920799351,,,y2io0104t,64.0,FOS/RD,GALAXY;SPIRAL;BULGE;,5744,1,unfiltered
NGC3115-NUC1,151.3063816793,-7.719919587474,,,y2j20101t,120.0,FOS/RD,GALAXY;LENTICULAR;NUCLEUS;,5512,1,unfiltered
WAVE,,,3540.0,9022.0,y26d0e03t,18.0,FOS/RD,,5530,2,unfiltered
F193,132.8992000391,11.89299405773,4574.0,6871.999999999999,y2io0204t,250.0,FOS/RD,STAR;K III-I;,5744,1,unfiltered
F193,132.8990999873,11.89264363786,4574.0,6871.999999999999,y2io0201t,9.0,FOS/RD,STAR;K III-I;,5744,1,unfiltered
WAVE,,,1140.0,2508.0,y26d0e04t,72.0,FOS/RD,,5530,2,unfiltered
WAVE,,,2221.0,3301.0,y26d0e08t,24.0,FOS/RD,,5530,2,unfiltered
WAVE,,,1500.0,8950.0,y26d0e02t,6.0,FOS/RD,,5530,2,unfiltered
WAVE,,,6270.0,8500.0,y26d0e05t,6.0,FOS/RD,,5530,2,unfiltered
WAVE,,,1573.0,2330.0,y26d0e09t,54.0,FOS/RD,,5530,2,unfiltered
NGC224-NE1,10.68478463214,41.26930593084,,,y2io0102t,45.0,FOS/RD,GALAXY;SPIRAL;BULGE;,5744,1,unfiltered
NGC224-OFFSET,10.70327083333,41.25377222222,,,y2io0101t,3.190781354904,FOS/RD,STAR;K III-I;,5744,1,unfiltered
WAVE,,,4574.0,6871.999999999999,y2io0107t,6.0,FOS/RD,,5744,2,unfiltered
4C06.41,160.3216281347,6.171380190719,,,y2ie0i03t,250.0,FOS/RD,GALAXY;QUASAR;LYMAN ALPHA CLOUD;,5664,1,unfiltered
