object_name,spec_name,redshift,CIV_blueshift,CIV_EW,f2500,components_used,manual_masking_applied,forced_components
0107-0019_STIS,0107-0019_STIS,0.7379901791928926,404.4969925394556,21.126102249494586,0.4919775776037055,,False,False
0115+027_FOS,0115+027_FOS,0.6671563257126756,197.48560807496355,258.6869964977885,0.4858541689870646,,False,False
0152+0023_STIS,0152+0023_STIS,0.5893996319847848,2672.3675039368018,13.944655092787256,0.5122931864040231,,False,False
0253-0138_FOS,0253-0138_FOS,0.8793399655676271,1849.685055631564,15.732725575686224,0.4386351172319561,,False,False
0959+68W1_FOS,0959+68W1_FOS,0.7713587521779437,2329.8461419314876,17.07164967439429,0.45913032051286135,,False,False
1130+106Y_FOS,1130+106Y_FOS,0.5106034913646944,266.5087642305957,60.481633507379144,0.5228151536651252,,False,False
1306+3021_FOS,1306+3021_FOS,0.8094234182920599,1574.9477243978852,13.892112807363732,0.47824339382765135,,False,False
1317+5203_FOS,1317+5203_FOS,1.054859817444746,-632.0507525105193,24.34620049642766,0.46791337408032424,,False,False
1401+0951_FOS,1401+0951_FOS,0.4377786544007207,611.3922089991388,59.91234140372195,0.42707809822593407,,False,False
1628.5+3808_FOS,1628.5+3808_FOS,0.3945,9574.141002142673,0.0,0.5534582728734112,,False,False
1628.6+3806_FOS,1628.6+3806_FOS,0.3943505986216355,-1325.0703461806688,144.39100172236022,0.3708291750365903,,False,False
1RXS J185800.9+485020_COS,1RXS J185800.9+485020_COS,0.079,266.5087642305957,134.02813697932478,0.562192974088316,,False,False
2E 2879_FOS,2E 2879_FOS,0.3199889175596515,-147.88187004671502,80.61145129845018,0.918497709434761,,False,False
2E 2879_STIS,2E 2879_STIS,0.3199889175596515,680.3185584841262,21.43474033137981,2.2341612813866045,,False,False
2MASS J00435499+4234302_COS,2MASS J00435499+4234302_COS,0.191,-78.78126855460229,453.09133986598886,0.23767876901263252,,False,False
2MASS J00505073+3536429_COS,2MASS J00505073+3536429_COS,0.058,2055.57348271678,110.04947848427236,0.636357159359879,,False,False
2MASS J00534614+2232224_COS,2MASS J00534614+2232224_COS,0.1477439224844126,1574.9477243978852,112.29965643230439,0.4862562714288474,,False,False
2MASS J01395577+0619225_STIS,2MASS J01395577+0619225_STIS,0.3963243714693187,2672.3675039368018,0.2650174287811723,0.5811410999791146,,False,False
2MASS J01553002-0857040_COS,2MASS J01553002-0857040_COS,0.1649267928357659,-9.680667062489581,201.17681707458354,0.5985029429764245,,False,False
2MASS J01553002-0857040_STIS,2MASS J01553002-0857040_STIS,0.1649267928357659,-1116.994088339305,37.13117395130208,1.8979064902477245,,False,False
2MASS J02201457-0728591_COS,2MASS J02201457-0728591_COS,0.2137721031735916,473.48142602680343,81.112966002785,0.44088715732801775,,False,False
2MASS J07505172+2454095_STIS,2MASS J07505172+2454095_STIS,0.4002136667185859,-701.286883341517,4.558169211584458,0.8936733852278634,,False,False
2MASS J08010140+1848409_COS,2MASS J08010140+1848409_COS,0.1402260052859415,473.48142602680343,151.18183518835224,0.5745263786684169,,False,False
